num of records, hot_records, prob, threads, throughput(tx/s)
77,./scripts/hot_records_4_items,100,4,38.29
70,./scripts/hot_records_4_items,100,4,35.43
71,./scripts/hot_records_4_items,100,4,35.68
1287,./scripts/hot_records_4_items,100,6,44.38
1511,./scripts/hot_records_4_items,100,20,52.16
1437,./scripts/hot_records_4_items,100,20,49.52
0,./scripts/hot_records_4_items,100,20,0.00
1,./scripts/hot_records_4_items,100,20,0.04
5805,./scripts/hot_records_32_items,100,60,200.12
1089,./scripts/hot_records_4_items,100,4,37.53
0,./scripts/hot_records_4_items,100,4,0.00
1639,./scripts/hot_records_32_items,100,60,56.51
5730,./scripts/hot_records_32_items,100,60,197.59
789,./scripts/hot_records_32_items,100,60,24.35
2086,./scripts/hot_records_32_items,100,60,71.91
6343,./scripts/hot_records_32_items,100,59,181.16
428,./scripts/hot_records_32_items,100,59,53.49
100,./scripts/hot_records_32_items,100,59,11.80
312,./scripts/hot_records_32_items,100,59,39.00
176,./scripts/hot_records_32_items,100,59,21.91
385,./scripts/hot_records_32_items,100,59,48.08
392,./scripts/hot_records_32_items,100,59,48.87
262,./scripts/hot_records_32_items,100,40,65500.00,316250.00
251,./scripts/hot_records_32_items,100,40,251000.00,1227000.00
241,./scripts/hot_records_32_items,100,40,48200.00,233200.00
1737,./scripts/hot_records_32_items,100,40,Infinity,Infinity
1530,./scripts/hot_records_32_items,100,40,101.79,134.99
1532,./scripts/hot_records_32_items,100,40,102.01,141.66
2604,./scripts/hot_records_32_items,100,40,173.58,38.33
490,./scripts/hot_records_32_items,100,40,32.64,1.27
2203,./scripts/hot_records_32_items,100,40,146.85,11.53
